month_index_for_overlay,Abramson_1944_count,Abramson_1944_percent,Bergman_1972_extracted_count,Bergman_1972_normalized_percent,CESDI_1993_1996_extracted_percent_raw,CESDI_1993_1996_normalized_percent,Mage_Donner_2009_extracted_count,Mage_Donner_2009_normalized_percent
0,14,10.072,8,4.706,9.0,9.091,1200,6.008
1,24,17.266,43,25.294,16.0,16.162,3800,19.024
2,34,24.46,45,26.471,19.5,19.697,4500,22.528
3,24,17.266,33,19.412,14.8,14.949,3700,18.523
4,18,12.95,23,13.529,12.8,12.929,2450,12.265
5,4,2.878,7,4.118,8.0,8.081,1450,7.259
6,4,2.878,1,0.588,6.0,6.061,1050,5.257
7,4,2.878,3,1.765,1.7,1.717,700,3.504
8,4,2.878,3,1.765,3.7,3.737,500,2.503
9,3,2.158,3,1.765,2.1,2.121,300,1.502
10,3,2.158,0,0.0,2.0,2.02,200,1.001
11,2,1.439,1,0.588,1.8,1.818,125,0.626
12,1,0.719,0,0.0,1.6,1.616,0,0.0
